Date,Open,High,Low,Close,Volume,Adj Close
2015-05-06,125.599998,125.900002,122.010002,123.300003,633900,120.548604
2015-05-05,128.029999,128.369995,125.120003,125.300003,594900,122.503975
2015-05-04,127.309998,130.789993,126.389999,127.980003,581900,125.124172
2015-05-01,128.350006,128.630005,125.260002,126.389999,624100,123.569649
2015-04-30,125.910004,128.240005,124.949997,128.190002,700900,125.329485
2015-04-29,123.730003,127.779999,122.50,125.00,627600,122.210667
2015-04-28,124.00,124.150002,121.300003,123.730003,349000,120.969009
2015-04-27,122.980003,124.379997,122.199997,123.260002,522600,120.509496
2015-04-24,119.050003,124.18,117.559998,122.190002,592300,119.463373
2015-04-23,114.389999,118.959999,113.709999,118.93,752000,116.276117
2015-04-22,116.209999,116.57,112.440002,114.639999,659700,112.081846
2015-04-21,114.949997,116.650002,114.580002,115.230003,292200,112.658684
2015-04-20,114.00,114.300003,112.00,113.919998,276800,111.377911
2015-04-17,114.610001,116.230003,110.610001,112.68,736300,110.165584
2015-04-16,116.00,117.370003,114.389999,116.239998,797900,113.646141
2015-04-15,116.980003,118.00,114.830002,115.739998,418200,113.157298
2015-04-14,117.589996,117.980003,113.519997,116.50,694900,113.900341
2015-04-13,118.50,119.330002,116.830002,117.82,357400,115.190886
2015-04-10,119.400002,122.800003,118.410004,118.800003,888700,116.14902
2015-04-09,119.510002,120.690002,116.57,120.150002,757100,117.468894
2015-04-08,113.629997,121.00,113.629997,117.040001,1319800,114.428292
2015-04-07,111.00,116.440002,109.900002,112.00,815700,109.500757
2015-04-06,111.010002,112.00,109.129997,111.07,504700,108.59151
2015-04-02,107.879997,111.760002,107.199997,111.510002,1048000,109.021693
2015-04-01,104.730003,108.209999,104.730003,107.059998,354300,104.670989
2015-03-31,103.849998,107.339996,103.150002,105.300003,849300,102.950268
2015-03-30,104.00,105.589996,102.550003,105.019997,354500,102.67651
2015-03-27,102.040001,104.730003,101.459999,103.830002,511100,101.51307
2015-03-26,100.080002,102.379997,98.760002,101.459999,355700,99.195953
2015-03-25,102.790001,103.970001,99.43,99.949997,368400,97.719646
2015-03-24,103.139999,104.389999,102.040001,102.650002,365500,100.359401
2015-03-23,101.75,104.480003,101.540001,103.870003,403700,101.552178
2015-03-20,98.290001,101.849998,98.010002,100.669998,491600,98.423581
2015-03-19,100.599998,100.870003,97.169998,98.18,471800,95.989146
2015-03-18,99.720001,102.120003,99.110001,100.099998,557100,97.8663
2015-03-17,99.379997,100.610001,98.00,99.519997,341200,97.299241
2015-03-16,97.00,99.730003,96.529999,99.300003,585600,97.084156
2015-03-13,94.269997,97.110001,94.169998,95.730003,551100,93.59382
2015-03-12,98.339996,98.339996,94.18,94.830002,515700,92.713902
2015-03-11,99.239998,99.239998,97.330002,97.470001,298300,95.294991
2015-03-10,99.800003,100.550003,98.150002,99.489998,365500,97.269912
2015-03-09,100.690002,101.629997,99.889999,100.010002,544700,97.778312
2015-03-06,101.660004,102.769997,100.00,100.760002,388500,98.511576
2015-03-05,97.849998,101.389999,97.57,101.099998,495500,98.843986
2015-03-04,95.150002,97.830002,95.150002,97.040001,693000,94.874586
2015-03-03,96.199997,98.660004,95.290001,96.279999,889000,94.131543
2015-03-02,101.199997,101.760002,96.610001,97.099998,1027100,94.933244
2015-02-27,105.309998,106.019997,98.839996,100.040001,703800,97.807642
2015-02-26,102.00,107.029999,102.00,104.739998,683100,102.40276
2015-02-25,109.669998,109.830002,101.68,101.980003,560900,99.704353
2015-02-24,111.199997,111.25,107.019997,109.550003,477300,107.105431
2015-02-23,110.559998,112.00,109.370003,111.650002,416600,109.158569
2015-02-20,110.989998,110.989998,108.43,110.080002,227500,107.242301
2015-02-19,115.330002,115.57,110.43,110.599998,324300,107.748893
2015-02-18,115.120003,115.279999,113.68,114.989998,135200,112.025725
2015-02-17,113.00,115.129997,111.779999,115.010002,241400,112.045213
2015-02-13,113.599998,114.360001,111.919998,112.989998,331500,110.077282
2015-02-12,116.949997,117.449997,111.860001,113.480003,481100,110.554655
2015-02-11,113.949997,116.68,113.699997,116.07,654900,113.077885
2015-02-10,110.419998,116.230003,109.330002,114.849998,1322100,111.889334
2015-02-09,110.110001,110.110001,105.639999,106.940002,868900,104.183246
2015-02-06,116.349998,116.349998,111.540001,111.639999,432100,108.762084
2015-02-05,116.269997,116.309998,114.260002,115.879997,364300,112.892781
2015-02-04,114.889999,118.470001,114.650002,116.529999,497500,113.526026
2015-02-03,112.360001,114.870003,111.00,114.809998,379600,111.850364
2015-02-02,109.540001,113.25,107.970001,112.889999,354500,109.979861
2015-01-30,108.370003,109.919998,107.25,109.25,331000,106.433695
2015-01-29,108.459999,110.459999,107.309998,109.169998,360500,106.355756
2015-01-28,110.760002,111.849998,107.93,108.599998,366800,105.80045
2015-01-27,110.290001,111.080002,109.099998,110.160004,431300,107.32024
2015-01-26,112.980003,113.769997,109.779999,111.059998,807400,108.197034
2015-01-23,111.910004,114.589996,111.910004,112.900002,361900,109.989605
2015-01-22,113.870003,113.870003,110.00,111.870003,540000,108.986158
2015-01-21,111.339996,112.769997,110.50,112.389999,298600,109.49275
2015-01-20,109.709999,113.410004,109.010002,111.07,546500,108.206778
2015-01-16,106.57,110.82,106.379997,108.699997,748100,105.897871
2015-01-15,105.610001,107.900002,104.660004,106.699997,568100,103.949428
2015-01-14,103.730003,106.970001,103.300003,104.860001,442500,102.156864
2015-01-13,104.410004,106.489998,103.629997,104.870003,388200,102.166608
2015-01-12,104.589996,104.889999,102.639999,104.010002,467000,101.328777
2015-01-09,103.07,104.769997,102.230003,103.580002,301800,100.909861
2015-01-08,102.889999,104.989998,102.629997,103.129997,419300,100.471457
2015-01-07,101.980003,106.470001,101.709999,102.620003,648100,99.97461
2015-01-06,99.800003,102.480003,98.620003,101.099998,419900,98.493789
2015-01-05,98.949997,100.989998,98.43,99.400002,210200,96.837615
2015-01-02,99.82,100.730003,96.849998,98.809998,327000,96.262821
2014-12-31,99.480003,100.07,98.25,99.139999,170900,96.584316
2014-12-30,99.00,100.150002,98.349998,98.989998,266600,96.438181
2014-12-29,101.93,102.800003,99.330002,99.440002,241500,96.876585
2014-12-26,101.389999,103.010002,99.849998,101.599998,247400,98.9809
2014-12-24,100.269997,103.440002,99.730003,101.309998,77300,98.698375
2014-12-23,102.610001,103.00,99.580002,100.410004,243800,97.821581
2014-12-22,103.019997,104.269997,102.220001,102.660004,329100,100.013579
2014-12-19,103.080002,103.220001,101.620003,101.940002,389100,99.312139
2014-12-18,98.809998,102.970001,98.809998,102.32,455400,99.68234
2014-12-17,99.529999,99.959999,97.32,97.739998,258500,95.220404
2014-12-16,99.970001,99.970001,97.760002,98.93,430700,96.37973
2014-12-15,99.629997,100.68,98.790001,99.75,296400,97.178591
2014-12-12,99.489998,102.00,98.239998,99.449997,341000,96.886322
2014-12-11,97.529999,101.290001,96.010002,100.779999,463700,98.182038
2014-12-10,100.18,101.639999,96.389999,96.559998,368600,94.070823
2014-12-09,95.980003,100.50,95.230003,99.900002,601600,97.324726
2014-12-08,101.889999,101.959999,97.120003,98.610001,486200,96.06798
2014-12-05,101.93,102.400002,100.949997,101.339996,367100,98.7276
2014-12-04,104.190002,104.190002,101.459999,101.93,426600,99.302395
